                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95923,                 2.9694,                  3.213,                 1.3316,                0.00622,                0.95833,                0.25991,                0.18997,                0.00642,                      1,                0.24819,                 0.1479,                0.66954,                 1.7062,                 3.5248,                 1.3009,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                0.87429,                 2.1777,                 2.9653,                 1.2532,                0.00612,                0.95833,                0.24335,                0.15995,                0.00631,                      1,                0.22972,                 0.1486,                0.77633,                 1.8357,                 3.5139,                 1.4751,             0.00015446,             0.00015446,             0.00015446
                      3,                0.79643,                 1.8198,                 2.4931,                 1.1994,                 0.0061,                0.95833,                0.26003,                0.19158,                 0.0061,                0.95833,                0.24411,                0.17653,                0.69628,                 1.7534,                 3.3338,                 1.4299,             0.00022525,             0.00022525,             0.00022525
                      4,                0.75224,                 1.6838,                 2.2008,                 1.1829,                0.00627,                0.95833,                0.30846,                 0.2297,                0.00648,                      1,                 0.2984,                0.20558,                0.77527,                 1.7511,                 3.3084,                 1.4111,             0.00028738,             0.00028738,             0.00028738
                      5,                0.76064,                 1.5084,                 2.0065,                 1.1808,                0.00636,                0.95833,                0.47297,                0.28946,                0.00636,                0.95833,                0.42815,                0.27865,                0.86361,                 1.6878,                 3.1669,                 1.4774,             0.00034085,             0.00034085,             0.00034085
                      6,                0.73682,                 1.3704,                 1.7813,                 1.1582,                0.88099,                 0.0625,                0.48875,                0.30227,                0.88099,                 0.0625,                0.45958,                0.25041,                0.84236,                 1.9292,                 3.0527,                 1.5316,             0.00038566,             0.00038566,             0.00038566
                      7,                0.75923,                 1.4706,                 1.6314,                 1.2036,                0.41282,                0.19154,                0.42899,                0.28878,                0.39559,                0.17569,                0.40576,                 0.2352,                  1.031,                 2.4429,                 3.0295,                 1.7244,              0.0004218,              0.0004218,              0.0004218
                      8,                0.73308,                 1.4585,                 1.5552,                 1.1414,                0.42169,                0.27083,                0.44745,                0.29393,                0.42169,                0.27083,                0.43527,                0.26291,                0.89817,                 1.8645,                 2.9466,                  1.539,             0.00044928,             0.00044928,             0.00044928
                      9,                0.74082,                 1.3733,                 1.4967,                 1.1567,                0.50292,                0.30143,                 0.3497,                0.24969,                0.49255,                0.22931,                0.32276,                0.22674,                 0.9379,                  2.047,                 2.9188,                 1.6051,              0.0004681,              0.0004681,              0.0004681
                     10,                0.75441,                  1.259,                 1.4164,                 1.1549,                0.42889,                0.22917,                0.44197,                0.28233,                0.42889,                0.22917,                0.41048,                0.27929,                 1.0722,                 2.7083,                 2.9366,                  1.725,             0.00047826,             0.00047826,             0.00047826
                     11,                0.75255,                 1.4899,                 1.7274,                 1.3342,                0.60343,                0.20908,                0.42095,                0.25758,                0.60457,                0.20796,                0.35496,                0.24874,                 1.4508,                 3.0976,                   3.18,                 2.1379,             0.00047975,             0.00047975,             0.00047975
                     12,                0.67503,                 1.3244,                 1.6447,                 1.2464,                0.39428,                0.27829,                 0.2934,                0.16762,                0.39428,                0.27829,                0.28097,                0.15344,                 1.1729,                 2.8162,                 3.0872,                 1.9078,             0.00047258,             0.00047258,             0.00047258
                     13,                0.67272,                  1.311,                 1.5565,                 1.2396,                 0.5114,                0.44153,                0.42551,                 0.2624,                 0.5114,                0.44153,                0.40892,                0.23897,                 1.1281,                 2.3552,                 2.9295,                 1.8199,             0.00045675,             0.00045675,             0.00045675
                     14,                0.67077,                 1.2401,                  1.571,                 1.2192,                0.37909,                0.52915,                0.52714,                0.33591,                0.36576,                0.46665,                0.51108,                0.26857,                 1.0148,                 2.4261,                 2.8279,                 1.7332,             0.00043226,             0.00043226,             0.00043226
                     15,                0.60702,                 1.1437,                 1.3917,                 1.1404,                0.27039,                0.57946,                0.42248,                0.29801,                0.27039,                0.57946,                0.42234,                0.25499,                 1.0043,                 2.5312,                 2.6086,                 1.7342,             0.00038375,             0.00038375,             0.00038375
                     16,                0.58865,                 1.0128,                 1.3085,                  1.173,                0.49644,                0.60385,                0.50876,                0.33359,                0.49644,                0.60385,                0.49786,                0.29124,                 1.0663,                 2.7162,                 2.3355,                 1.9152,             0.00038375,             0.00038375,             0.00038375
                     17,                0.56267,                 1.0004,                 1.2517,                 1.0954,                0.54927,                 0.6974,                0.57801,                0.37959,                0.54927,                 0.6974,                0.56296,                0.33063,                 1.0916,                 2.7199,                 2.3279,                 2.0239,             0.00032188,             0.00032188,             0.00032188
                     18,                0.52081,                0.93214,                 1.2134,                 1.0923,                0.49901,                0.65564,                0.57344,                0.36605,                0.49901,                0.65564,                0.56517,                0.33019,                 1.1444,                 2.6038,                 2.3895,                  2.023,                0.00026,                0.00026,                0.00026
                     19,                 0.5147,                0.95063,                 1.2274,                 1.0586,                0.49007,                0.69518,                0.58602,                0.38007,                0.49007,                0.69518,                0.58057,                0.33648,                 1.0783,                 2.4233,                 2.4333,                 1.8481,             0.00019813,             0.00019813,             0.00019813
                     20,                 0.4859,                0.90658,                 1.1577,                 1.0433,                0.55802,                0.69362,                0.58998,                0.41746,                0.55802,                0.69362,                 0.5839,                0.36192,                0.99372,                 2.3359,                 2.3978,                 1.6856,             0.00013625,             0.00013625,             0.00013625
