epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0399,1.23476,3.76283,3.84641,1.71825,0.23299,0.43333,0.19423,0.15574,0.23299,0.43333,0.17739,0.1548,0.69474,2.48018,3.91099,1.20282,2.858e-05,2.858e-05,2.858e-05
2,59.2453,1.06114,2.59727,2.8126,1.54866,0.69747,0.68862,0.68715,0.52123,0.69747,0.68862,0.67975,0.62686,0.69805,3.15869,3.3505,1.20982,6.79132e-05,6.79132e-05,6.79132e-05
3,91.1274,0.8999,1.33193,2.12542,1.38318,0.8824,0.72175,0.74525,0.59942,0.8824,0.72175,0.74525,0.66338,0.76411,3.54703,5.3876,1.28406,0.000103002,0.000103002,0.000103002
4,123.164,1.00216,1.42068,2.14455,1.39963,0.67125,0.78844,0.63697,0.5059,0.67125,0.78844,0.63471,0.56014,0.81983,2.45291,4.76459,1.34968,0.000133847,0.000133847,0.000133847
5,152.367,0.66881,1.01031,1.74533,1.23163,0.56247,0.46667,0.35663,0.19962,0.61834,0.5,0.39182,0.31684,1.02517,2.25233,11.079,1.57766,0.000160448,0.000160448,0.000160448
6,181.354,0.75609,0.88613,1.63868,1.30624,0.22034,0.53333,0.42674,0.25512,0.30431,0.46277,0.43842,0.36056,0.98489,2.19514,7.15234,1.62515,0.000182805,0.000182805,0.000182805
7,210.347,0.74523,0.89312,1.49221,1.27588,0.59078,0.47832,0.50488,0.36376,0.59078,0.47832,0.50473,0.42541,0.91471,2.20155,3.05886,1.47529,0.000200917,0.000200917,0.000200917
8,239.606,0.7118,0.84321,1.42449,1.19542,0.53283,0.49222,0.5107,0.30641,0.53283,0.49222,0.49929,0.41974,0.81545,2.06505,3.60144,1.36597,0.000214786,0.000214786,0.000214786
9,269.444,0.76692,0.66346,1.4299,1.21857,0.5372,0.46667,0.51037,0.40882,0.5372,0.46667,0.51202,0.4285,1.12024,2.23812,3.12734,1.65135,0.00022441,0.00022441,0.00022441
10,298.773,0.84459,0.7285,1.5089,1.32022,0.49355,0.46667,0.49738,0.36896,0.49355,0.46667,0.48674,0.42499,1.02062,2.2065,3.40628,1.57642,0.00022979,0.00022979,0.00022979
11,328.529,0.55558,0.6464,1.56316,1.21574,0.57558,0.8,0.53742,0.41769,0.57558,0.8,0.53555,0.46423,0.94494,1.96325,2.5149,1.50348,0.000230926,0.000230926,0.000230926
12,357.581,0.4999,0.51019,1.54878,1.12962,0.62588,0.79533,0.58543,0.42767,0.62588,0.79533,0.58524,0.48391,0.99795,1.88706,2.4193,1.45598,0.000227818,0.000227818,0.000227818
13,386.987,0.47203,0.60058,1.21239,1.04704,0.56987,0.8,0.5583,0.43683,0.56987,0.8,0.5583,0.48474,0.81913,1.86093,3.50363,1.24335,0.000220466,0.000220466,0.000220466
14,415.886,0.45426,0.50479,1.11837,1.09991,0.49951,0.79456,0.5169,0.38394,0.49951,0.79456,0.51597,0.44915,0.89278,1.878,3.14336,1.34145,0.00020887,0.00020887,0.00020887
15,444.721,0.51928,0.5329,1.02324,1.17032,0.5394,0.63797,0.55367,0.42814,0.52236,0.83374,0.61542,0.52486,1.12874,2.96872,2.32169,1.70394,0.000193029,0.000193029,0.000193029
16,473.675,0.49214,0.54551,1.07723,1.05096,0.46809,0.86667,0.61248,0.42451,0.46809,0.86667,0.59588,0.51944,1.10214,3.23335,2.17342,1.70257,0.000172945,0.000172945,0.000172945
17,502.779,0.41449,0.49499,1.01441,1.0924,0.5256,0.66383,0.56985,0.45223,0.5256,0.66383,0.56923,0.50554,0.84199,3.45575,2.2175,1.38539,0.000148616,0.000148616,0.000148616
18,531.881,0.45855,0.49812,0.89714,1.04925,0.54644,0.82141,0.60038,0.49863,0.54644,0.82141,0.59917,0.53832,0.74006,3.35914,2.47747,1.31972,0.000120043,0.000120043,0.000120043
19,560.963,0.35703,0.43569,0.79748,0.97591,0.57231,0.83333,0.6018,0.51004,0.57231,0.83333,0.60089,0.53788,0.74596,3.86082,2.44682,1.33978,8.72262e-05,8.72262e-05,8.72262e-05
20,589.971,0.37628,0.42036,0.80814,0.98254,0.59094,0.83333,0.77904,0.64726,0.59094,0.83333,0.77812,0.69837,0.77791,3.31718,2.23459,1.36153,5.0165e-05,5.0165e-05,5.0165e-05
